lat,lon,alt
32.869609,-117.220524,0.0
32.869602,-117.220522,0.0
32.869597,-117.220523,0.0
32.869595,-117.220524,0.0
32.869591,-117.220526,0.0
32.869589,-117.220527,0.0
32.869587,-117.220526,0.0
32.869585,-117.220526,0.0
32.869583,-117.220525,0.0
32.869582,-117.220525,0.0
32.869581,-117.220524,0.0
32.86958,-117.220523,0.0
32.869579,-117.220523,0.0
32.869578,-117.220521,0.0
32.869578,-117.220521,0.0
32.869577,-117.22052,0.0
32.869576,-117.220519,0.0
32.869575,-117.220518,96.2
32.869574,-117.220517,96.2
32.869573,-117.220517,96.3
32.869572,-117.220516,96.3
32.869572,-117.220516,96.3
32.869572,-117.220516,96.3
32.869571,-117.220516,96.4
32.869571,-117.220515,96.4
32.86957,-117.220515,96.5
32.869569,-117.220515,96.5
32.869568,-117.220515,96.6
32.869567,-117.220515,96.7
32.869566,-117.220515,96.7
32.869566,-117.220515,96.6
32.869566,-117.220515,96.6
32.869566,-117.220515,96.7
32.869566,-117.220514,96.7
32.869566,-117.220514,96.6
32.869567,-117.220514,96.6
32.869567,-117.220514,96.7
32.869568,-117.220513,96.7
32.869569,-117.220513,96.7
32.86957,-117.220512,96.6
32.86957,-117.220512,96.7
32.869571,-117.220512,96.6
32.869571,-117.220511,96.7
32.869571,-117.22051,96.7
32.869572,-117.220509,96.7
32.869571,-117.220508,96.7
32.869571,-117.220508,96.7
32.86957,-117.220507,96.7
32.86957,-117.220507,96.6
32.869569,-117.220506,96.6
32.869569,-117.220506,96.5
32.869568,-117.220505,96.6
32.869568,-117.220503,96.5
32.869567,-117.220503,96.5
